nm_completo,dt_nascimento,genero,est_civil,nr_cpf,nacionalidade,etnia,endereco,e_mail,nr_plano_saude,nm_plano_saude,nr_prontuario,alergias,condicoes_medicas_pre,medicamento_uso_regular
Margaret Byrd,1923-03-25,Masculino,Casado,767-06-0906,Brasileira,Negra,"1305 Marissa Rest
East Matthew, MI 31414",johnharris@example.org,81629847,"Flores, Chan and Welch",983249,Amoxicilina,,Losartana
William Clements,1966-12-06,Feminino,Divorciado,334-25-4614,Brasileira,Branca,"5183 Sean Point
Lake Susanborough, VT 47546",jonesjose@example.net,12335171,Ritter-Snyder,559806,,Diabetes,Atorvastatina
Ricardo Wang,1954-11-14,Masculino,Solteiro,852-60-7403,Brasileira,Amarela,"USNS Bernard
FPO AP 80563",randy75@example.org,15167107,Stokes Group,796285,Amoxicilina,,Insulina
Ryan Lee,1976-12-17,Masculino,Viúvo,166-27-0321,Brasileira,Amarela,"69265 Webb Dale Suite 653
Reginamouth, MO 81333",vgibson@example.com,61549834,Bailey and Sons,879862,,,
Elizabeth Shepherd,1938-04-21,Masculino,Casado,679-38-4191,Brasileira,Branca,"411 Smith Locks
Troyview, NC 65710",trujilloerika@example.com,25078062,White and Sons,185279,Amendoim,,Insulina
Wayne Brown,1952-12-14,Masculino,Casado,087-56-6184,Brasileira,Branca,"548 Rodriguez Glens Suite 151
Seantown, CO 88569",vmiller@example.net,56346161,Price-Duran,815568,,Hipertensão,Atorvastatina
Robert Hill,1925-06-21,Masculino,Casado,364-19-8072,Brasileira,Branca,"5919 Boyd Station Suite 640
Matthewmouth, IA 57137",robersontina@example.com,57828849,"Novak, Sanchez and Shannon",216700,Amoxicilina,Hipertensão,
Dominique Smith DVM,2004-11-17,Feminino,Casado,548-26-1441,Brasileira,Parda,"15981 Davenport Highway Apt. 792
Davidton, WV 22500",christopher49@example.com,52987294,Edwards Group,824909,Amoxicilina,Asma,Atorvastatina
Jessica Dunn,2000-07-22,Masculino,Solteiro,041-88-0538,Brasileira,Branca,"486 Tiffany Land Suite 057
New Emily, GA 17785",edwardstracey@example.org,8251652,Perez PLC,845896,Amendoim,Doença Cardíaca,Atorvastatina
Rebecca Howell,1991-03-06,Feminino,Divorciado,583-14-2921,Brasileira,Amarela,"0405 Perez Shore
Claudiabury, PR 75062",laura20@example.com,15120812,Heath Ltd,174838,Amoxicilina,Diabetes,Atorvastatina
Tara Peters,1955-10-19,Feminino,Viúvo,629-18-8997,Brasileira,Parda,"242 Joshua Freeway Suite 905
North Michael, DE 83158",christinamalone@example.org,51085928,"Burch, Peterson and Weber",576689,Amoxicilina,Asma,Losartana
Jason Bishop,1985-11-21,Feminino,Casado,185-16-9758,Brasileira,Negra,"75440 Carol Ways Suite 069
Kristenberg, MT 17196",leescott@example.com,75790144,Ortiz-Hull,978917,Amendoim,Doença Cardíaca,Insulina
Stephen Hernandez,1943-11-27,Feminino,Solteiro,160-40-0967,Brasileira,Parda,"5863 Henderson Inlet
Brianmouth, MO 29116",colonkristin@example.org,33397903,"Brown, Day and Lee",957307,,Diabetes,
Zachary Hall,1954-11-13,Feminino,Solteiro,426-35-0827,Brasileira,Negra,"9582 Stephanie Points
Johnathanland, GU 29595",helen36@example.com,58803336,Baker Group,136948,Amoxicilina,Doença Cardíaca,Atorvastatina
Russell Warren,1993-01-20,Feminino,Casado,648-04-3174,Brasileira,Amarela,"3774 Jasmine Falls Apt. 865
Mikeshire, AS 66152",lisa21@example.net,17863974,"Terry, Lowery and Wilson",814514,,Hipertensão,Atorvastatina
William Hudson,1928-08-21,Feminino,Solteiro,788-58-7836,Brasileira,Parda,"618 James Squares Apt. 536
Millston, IA 95979",flowerscolleen@example.net,80090895,"Wright, Jones and Delacruz",801637,Amendoim,Diabetes,Losartana
Linda Burke,1936-03-17,Feminino,Viúvo,667-37-4604,Brasileira,Negra,"20095 Patrick Plaza
Wilsonchester, TX 88140",bfrazier@example.org,27982888,"Gonzalez, Lopez and Snyder",424306,Amoxicilina,Asma,Insulina
Rebecca Davies,1976-11-03,Masculino,Casado,209-77-5272,Brasileira,Negra,"USNS Coleman
FPO AA 22548",marcus32@example.org,40647070,Foley-Ho,320282,Amendoim,Doença Cardíaca,Insulina
David Brown,1981-09-13,Masculino,Viúvo,603-21-7531,Brasileira,Branca,"1858 Gwendolyn Unions
South Josephville, FM 70803",costadavid@example.org,80195615,Pierce PLC,961382,,,Atorvastatina
Daniel Lopez,1988-11-30,Feminino,Casado,549-08-3183,Brasileira,Branca,"3175 James Shores Apt. 800
Myersside, MS 93234",shelly71@example.org,30065711,Drake-Perry,427508,,,Atorvastatina
Lauren Davis,1959-02-19,Masculino,Divorciado,229-78-8635,Brasileira,Parda,"3091 David Fall
North Shannonstad, SD 11820",samantha79@example.com,33609895,Cohen-Turner,783293,Amoxicilina,,Insulina
Andrew Robinson,1934-10-21,Masculino,Viúvo,596-48-1480,Brasileira,Branca,"Unit 2303 Box 4936
DPO AA 95864",amanda55@example.org,83495850,Alexander and Sons,935553,,Hipertensão,Losartana
Rhonda Burns,1952-03-23,Feminino,Divorciado,356-58-2107,Brasileira,Amarela,"661 Beth Orchard
Donnaton, FM 72390",pwheeler@example.org,35736252,Jackson-Carpenter,956320,Amoxicilina,Diabetes,Atorvastatina
Sarah Perez,1963-04-27,Masculino,Viúvo,591-51-7463,Brasileira,Amarela,"760 Thomas Springs Apt. 882
West Kathyport, NY 85557",john40@example.net,48270862,"Lowe, Hendricks and Velazquez",436082,,,
Hannah Park,2003-12-07,Feminino,Solteiro,778-32-0255,Brasileira,Parda,"9153 Johnson Mission
Jonesshire, FM 90339",juliamahoney@example.org,56587235,Franklin Group,268248,Amendoim,Asma,
Richard Pruitt,1934-06-21,Feminino,Solteiro,141-25-9032,Brasileira,Negra,"2663 Johnson Forges
Jonathanville, PA 80542",richard70@example.net,46744536,Moore PLC,334715,,Doença Cardíaca,Atorvastatina
Keith Johnson,1924-10-16,Feminino,Divorciado,275-34-2950,Brasileira,Negra,"2179 Parks Gardens Suite 682
Johnport, OR 02605",jenniferprice@example.net,14118721,Henry-Stewart,516041,,Diabetes,Insulina
Daniel Adams,1945-03-14,Feminino,Viúvo,361-61-7644,Brasileira,Amarela,"3992 Jason Lodge
Lake Natalieside, AL 52377",prattedwin@example.net,82722719,Maddox-Henson,877506,,Asma,Atorvastatina
Amanda Elliott,1938-01-12,Masculino,Viúvo,137-20-9424,Brasileira,Negra,"229 Snyder Ports Suite 660
Benjaminstad, OR 66319",zacharyguzman@example.net,69882091,Harper-Rodriguez,803188,Amendoim,Diabetes,Insulina
Michael Hale,1931-11-02,Masculino,Viúvo,651-78-4053,Brasileira,Negra,"169 Johnson Passage Suite 352
West Jason, VT 01351",eric48@example.com,13673896,Reid-Mullins,464275,Amoxicilina,Hipertensão,Atorvastatina
Marissa Terry,1991-05-08,Masculino,Divorciado,259-55-2151,Brasileira,Amarela,"821 Dennis Valley Apt. 630
Hunterhaven, CA 43518",aaronbrown@example.com,42144785,Green-Escobar,645862,Amendoim,Diabetes,Insulina
Sheri Sweeney,1942-10-29,Masculino,Casado,072-25-0677,Brasileira,Amarela,"686 Stafford Neck Apt. 998
West Elizabethside, FM 73250",davilakatherine@example.org,66984570,Thompson-Yates,779242,Amendoim,,Losartana
Justin Odonnell,1956-02-28,Feminino,Divorciado,434-95-4108,Brasileira,Negra,"PSC 9491, Box 3447
APO AA 10791",joseph81@example.com,20459827,"Benitez, Rios and Larson",328557,,Asma,Atorvastatina
Randy Brown,1928-01-26,Feminino,Solteiro,754-89-1751,Brasileira,Amarela,"50204 Olson Skyway
South Deborah, MS 65066",taylorbrian@example.net,88836641,"Green, Nelson and Hunt",906752,Amendoim,Diabetes,Insulina
Devin Martin,1934-01-18,Masculino,Divorciado,360-09-7283,Brasileira,Branca,"016 Bryant Courts
Lisaberg, KY 54771",avilarobert@example.com,34646593,Coleman Inc,927357,Amoxicilina,Hipertensão,
William Smith,1980-10-30,Masculino,Casado,411-36-7065,Brasileira,Negra,"1481 Baker River Apt. 005
New Jody, RI 57931",johnsangela@example.org,63653280,"Edwards, Foster and Cruz",726681,,Doença Cardíaca,Insulina
Ronald Cook DDS,1968-05-13,Feminino,Viúvo,515-10-4596,Brasileira,Amarela,"79351 Chapman Plains Apt. 075
New Jasonview, NC 17804",tmurphy@example.com,61386401,Morris-Thompson,359817,Amendoim,Hipertensão,Insulina
Robert Rodriguez,1923-12-03,Feminino,Viúvo,273-04-4445,Brasileira,Negra,"94627 Samantha Station Apt. 612
South Jim, MO 86598",smiller@example.org,48335238,Hawkins Group,811841,,Asma,Losartana
Javier Smith,1954-04-24,Feminino,Divorciado,422-11-5511,Brasileira,Amarela,"21724 Carter Loaf Suite 806
South Annafurt, NJ 55895",sosaarthur@example.net,47960073,George-Smith,885466,Amendoim,,Insulina
Katherine Erickson,1991-02-06,Feminino,Solteiro,582-16-6344,Brasileira,Amarela,"7129 Christopher Oval
Marthaberg, ME 36573",cheyennemelton@example.org,61072405,"Wilson, Hughes and Perez",277423,Amendoim,Asma,Insulina
Steven Snyder,1930-05-28,Feminino,Casado,355-99-6670,Brasileira,Branca,"506 Bowen Inlet
Tamarahaven, VA 53542",robert28@example.com,7556196,Reynolds Group,114185,,Asma,Atorvastatina
Matthew Sullivan,1990-09-28,Feminino,Solteiro,351-34-7335,Brasileira,Branca,"63370 Ricky Valleys
Antonioville, ND 26105",ashley89@example.org,2144749,Baker Ltd,136268,Amendoim,Hipertensão,Losartana
Joseph Hawkins,1998-11-01,Feminino,Viúvo,497-60-0810,Brasileira,Parda,"1685 Katherine Well Apt. 055
Smallborough, KY 51590",kimberlywhite@example.net,68784955,Buckley PLC,960657,Amoxicilina,,
Bryan Estrada,1985-12-06,Masculino,Casado,867-42-5557,Brasileira,Amarela,"27493 Morales Camp Apt. 112
Barnettburgh, NV 43910",elliottdavid@example.net,32817022,"Beard, Vega and Walton",384704,Amoxicilina,,Losartana
Jessica Yang,1967-07-28,Feminino,Divorciado,010-16-7537,Brasileira,Negra,"61692 Daniel Harbors
West Denisehaven, AS 12120",carteralyssa@example.com,22313450,"Gray, Johnson and Edwards",582133,Amendoim,Diabetes,Atorvastatina
Paul Jones,1962-07-04,Feminino,Casado,456-11-2861,Brasileira,Amarela,"57091 David Spurs
East Stephanie, MH 13364",williamcarroll@example.org,65805057,Ewing Ltd,534204,Amendoim,Diabetes,Losartana
David Wright,2000-07-09,Masculino,Solteiro,006-10-3480,Brasileira,Parda,"37384 Richard Greens Suite 717
Vangstad, MP 69367",nbrown@example.net,63490798,Gillespie Ltd,101643,Amoxicilina,Doença Cardíaca,Insulina
Laura Bolton,1969-02-26,Masculino,Solteiro,210-59-5308,Brasileira,Parda,"18645 Ochoa Shores Suite 095
North Melissa, SC 99326",ivanevans@example.org,55817829,Byrd-Hayden,592347,Amendoim,,Losartana
Leslie Cunningham,1989-05-27,Feminino,Casado,481-25-7544,Brasileira,Branca,"7456 Brittany Mill Suite 637
Stonetown, PR 76650",frederickbaker@example.net,94395890,Wilson PLC,569275,Amoxicilina,Hipertensão,Insulina
Ellen Yoder,1968-02-24,Feminino,Viúvo,002-71-2275,Brasileira,Negra,"USCGC Shannon
FPO AE 56438",woodandrew@example.org,67363536,Sanders-Williams,990305,Amendoim,Asma,Losartana
Benjamin Nichols,1934-01-12,Feminino,Solteiro,631-92-1324,Brasileira,Amarela,"0242 Lisa Overpass Suite 818
South Thomas, MA 61509",bowersjennifer@example.net,1960758,Stephens and Sons,293488,Amoxicilina,Asma,Insulina
Steven Miller,1955-01-03,Feminino,Divorciado,234-08-5138,Brasileira,Amarela,"765 Melissa Courts
Jefferyburgh, NH 65093",torressteven@example.com,6488649,"Proctor, Holt and Norris",675749,Amoxicilina,,Atorvastatina
Sherry Harmon,1971-10-07,Masculino,Viúvo,047-16-6245,Brasileira,Branca,"977 Campos Cliffs
Tanyafurt, OK 73172",courtney78@example.org,22072953,Rivera-Horn,271106,,Asma,Atorvastatina
Jennifer Cooper,1972-10-24,Feminino,Solteiro,799-31-2186,Brasileira,Parda,"015 Denise Summit
North Heather, WV 65957",heather87@example.com,62832901,Daniel-Herrera,554049,,Diabetes,Losartana
Dawn James,1962-03-01,Masculino,Divorciado,289-64-4083,Brasileira,Negra,"26188 Lopez Pass Apt. 514
Jeffreymouth, AL 40445",smithmary@example.com,66690063,Lara-Anderson,199511,Amoxicilina,,Losartana
Nicole Vargas,1972-11-10,Feminino,Viúvo,028-78-2591,Brasileira,Parda,"Unit 5950 Box 7708
DPO AA 22183",jenna43@example.org,94646991,"Hernandez, Allen and Galvan",400414,Amoxicilina,,Losartana
James Perez,1944-08-01,Feminino,Divorciado,485-79-8622,Brasileira,Parda,"695 Jeffrey Roads
Port Jenniferberg, WY 29173",woodbrett@example.org,5637062,Santos-Sanford,260423,Amendoim,Asma,
Gina Cuevas,1988-04-22,Feminino,Casado,661-08-2351,Brasileira,Amarela,"849 Anderson Pines
West Robertland, NJ 58795",ericcarney@example.net,25163401,Lee-Martin,657215,Amoxicilina,Doença Cardíaca,
Wendy Smith,1935-09-22,Masculino,Divorciado,827-27-4062,Brasileira,Parda,"6445 Brandt Oval
New Curtisland, MD 44164",heatherhunt@example.com,2437220,"Perez, Clark and Kim",723174,Amoxicilina,Doença Cardíaca,
Scott Cole,1943-05-24,Feminino,Solteiro,631-96-9589,Brasileira,Amarela,"683 Samuel Estate
Parkerport, KY 16184",ryanpugh@example.net,46686941,Jordan Inc,688271,Amendoim,Hipertensão,Atorvastatina
Caitlin Cook,2000-10-18,Masculino,Divorciado,617-49-1282,Brasileira,Negra,"6128 Cooper Throughway Suite 459
Port Amber, GA 45244",mooremichael@example.org,29149659,Nguyen-Wood,329901,Amoxicilina,Asma,Atorvastatina
